subject_id,subject_effect_S,subject_effect_C,subject_weight_M,subject_weight_S,subject_weight_C
control_kwlt::5ea2ac265b40e81cfe8296ea,-0.4197514628440767,-0.05402406179242585,0.7631117282703084,0.20987269446247134,0.027015577267220293
control_kwlt::5ea48ae3461d1044f2d282cc,-0.32061008980202593,-0.1028375011379067,0.7502246912669788,0.2245205683694907,0.02525474036353043
control_kwlt::5ea6f9f2064600098ec3de7d,-0.1788391484555631,-0.09077944534041606,0.7291747632878731,0.24603904726323902,0.02478618944888784
control_kwlt::5ea77e260e5ed316cc418ca3,0.7941776075023986,-0.074003714895437,0.5605330208844392,0.42045079943168795,0.019016179683872807
control_kwlt::5ea950e4befef302772be716,-0.32589474830665666,-0.039058495879169486,0.7497019971181814,0.2233962660874808,0.0269017367943377
control_kwlt::5eaafded3bb47c09107ec0e2,-0.05590177558701947,-0.07780919001001915,0.71000868240457,0.26559332532618535,0.02439799226924458
control_kwlt::5eb19fab4606ca2cc2309390,0.2934357239989487,-0.09051568370868383,0.6523219409782582,0.3256887653011594,0.021989293720582306
control_kwlt::5eb411c4b0526d222fbb4395,-0.23799628900253617,-0.08884379681815441,0.7379589815877461,0.23688279144015742,0.025158226972096513
control_kwlt::5ec7b132b11a172266fd8915,-0.2788624215810536,-0.07756741157141345,0.7437196488038001,0.2306210007325139,0.025659350463685983
control_kwlt::5ec8a6e33c420d39237e7682,0.029533477958681022,-0.05138619755387391,0.6959316110210559,0.2795511433091861,0.024517245669757985
control_kwlt::5eccf0abdeb69701e9c718da,-0.32061008980202593,-0.1028375011379067,0.7502246912669788,0.2245205683694907,0.02525474036353043
control_kwlt::5ed4c3d73ac88100098198f1,-0.5689039516703787,0.7831527371638647,0.7550273292120926,0.18308898675745777,0.06188368403044961
control_kwlt::5ed85f199883863679e485c8,0.12957960058318957,-0.0668653989065122,0.6798115305212374,0.2966504722995341,0.023537997179228443
control_kwlt::5ef5c4db3ce68a02806df888,0.46034814918103484,-0.018466184961955723,0.621712861550107,0.3558375403991222,0.02244959805077083
control_kwlt::5effecc85d91970e055438db,0.41103045166253,-0.07752436337901891,0.631417770061271,0.34706903249265575,0.021513197446073322
control_kwlt::5f072de78ef9940c5dbabf80,-0.5677553291244072,-0.08115285896030122,0.7833236406278816,0.18962858798470245,0.027047771387415986
control_kwlt::5f088ba29bf08d0b3885f726,0.18222799363997427,0.36669248442597013,0.6622248425971796,0.3024306371101451,0.03534452029267521
control_kwlt::5f12f9e19b4f8213cf3bdd2c,-0.2295215068933008,-0.05644075543374007,0.7360816643491723,0.2380011274557733,0.025917208195054293
control_kwlt::5f2b1bcbfa2da3513cb07b77,-0.217977601970152,-0.01141058721534938,0.7334749765707917,0.23951500923707572,0.027010014192132517
control_kwlt::5f36bd304ef90a0c47167e1f,0.2934357239989487,-0.09051568370868383,0.6523219409782582,0.3256887653011594,0.021989293720582306
control_kwlt::5f3d6975ef131710ed519c7a,0.33898006886073195,0.3787518792412636,0.6355869230773086,0.33018146733383713,0.03423160958885429
control_kwlt::5f3d6ca05772161108bc0e2e,0.2934357239989488,-0.09051568370868389,0.6523219409782582,0.3256887653011594,0.021989293720582306
control_kwlt::5f40205989c7a912f71e7ee9,0.11251517596287974,-0.06961130185229315,0.6826880414686928,0.2937317067694609,0.023580251761846326
control_kwlt::5f40c670f10f171ff50afe48,-0.007237253851305399,-0.09688516547417071,0.702632506366125,0.2736997939154586,0.023667699718416403
control_kwlt::5f429a57a972c449ac21680e,-0.08075052074853288,-0.07703849114413171,0.7138838887155979,0.2615553188327843,0.024560792451617817
control_kwlt::5f44ec581d2bed02f7427a31,-0.32589474830665666,-0.039058495879169486,0.7497019971181814,0.2233962660874808,0.0269017367943377
control_kwlt::5f4818e6d5ce1016c865ed24,0.7770452199620632,-0.07343301840827211,0.5637852629819312,0.41707050324110706,0.019144233776961714
control_kwlt::5f55a7a08ba70197917cfba3,0.18222799363997427,0.3666924844259705,0.6622248425971796,0.3024306371101451,0.03534452029267522
control_kwlt::5f82efa422d3c740b3e41b30,0.33438463089010884,-0.04541896539958557,0.6444850545904034,0.3328054779853361,0.022709467424260502
control_kwlt::5f960a9442d5f34e319e3cf7,0.17531712663406743,-0.08610451841255148,0.6724717973678082,0.3047077725600372,0.02282043007215458
control_kwlt::5fa9392c0cc79c03b3f4eb58,-0.17260148697384547,0.35980542265761806,0.7178151739617691,0.2438950286068045,0.03828979743142642
